0.99,?a  <dbo:author>  ?b  ?a  <dbo:coverArtist>  ?b   => ?a  <dbo:illustrator>  ?b
0.97,?b  <dbo:notableWork>  ?a   => ?a  <dbo:author>  ?b
0.92,?f  <dbo:author>  ?a  ?b  <dbo:previousWork>  ?f   => ?a  <dbo:notableWork>  ?b
0.91,?b  <dbo:author>  ?a   => ?a  <dbo:notableWork>  ?b
0.91,?e  <dbo:author>  ?a  ?e  <dbo:subsequentWork>  ?b   => ?a  <dbo:notableWork>  ?b
0.86,?e  <dbo:author>  ?a  ?e  <dbo:previousWork>  ?b   => ?a  <dbo:notableWork>  ?b
0.86,?f  <dbo:author>  ?a  ?b  <dbo:subsequentWork>  ?f   => ?a  <dbo:notableWork>  ?b
0.85,?a  <dbo:author>  ?f  ?f  <dbo:language>  ?b   => ?a  <dbo:originalLanguage>  ?b
0.82,?a  <dbo:author>  ?b  ?a  <dbo:musicBy>  ?b   => ?a  <dbo:lyrics>  ?b
0.75,?a  <dbo:author>  ?b  ?a  <dbo:producer>  ?b   => ?a  <dbo:creativeDirector>  ?b
0.65,?a  <dbo:author>  ?b  ?a  <dbo:creator>  ?b   => ?a  <dbo:executiveProducer>  ?b
0.60,?a  <dbo:creator>  ?b   => ?a  <dbo:author>  ?b
0.60,?e  <dbo:author>  ?a  ?e  <dbo:series>  ?b   => ?a  <dbo:notableWork>  ?b
0.43,?a  <dbo:author>  ?b  ?a  <dbo:creator>  ?b   => ?a  <dbo:creativeDirector>  ?b
0.40,?a  <dbo:lyrics>  ?b   => ?a  <dbo:author>  ?b
0.37,?a  <dbo:author>  ?b   => ?a  <dbo:lyrics>  ?b
0.34,?a  <dbo:author>  ?b   => ?a  <dbo:creator>  ?b
0.32,?a  <dbo:author>  ?b  ?b  <dbo:notableWork>  ?a   => ?a  <dbo:illustrator>  ?b
0.31,?a  <dbo:executiveProducer>  ?b   => ?a  <dbo:author>  ?b
0.25,?a  <dbo:illustrator>  ?b   => ?a  <dbo:author>  ?b
0.25,?a  <dbo:author>  ?b   => ?a  <dbo:illustrator>  ?b
0.25,?f  <dbo:author>  ?b  ?a  <dbo:subsequentWork>  ?f   => ?a  <dbo:illustrator>  ?b
0.25,?f  <dbo:author>  ?b  ?a  <dbo:previousWork>  ?f   => ?a  <dbo:illustrator>  ?b
0.23,?a  <dbo:author>  ?b   => ?a  <dbo:executiveProducer>  ?b
0.20,?e  <dbo:author>  ?b  ?e  <dbo:previousWork>  ?a   => ?a  <dbo:illustrator>  ?b
0.19,?e  <dbo:author>  ?b  ?e  <dbo:subsequentWork>  ?a   => ?a  <dbo:illustrator>  ?b
0.15,?a  <dbo:author>  ?b   => ?a  <dbo:presenter>  ?b
0.14,?a  <dbo:author>  ?b   => ?a  <dbo:musicBy>  ?b
0.13,?a  <dbo:author>  ?f  ?f  <dbo:deathPlace>  ?b   => ?a  <dbo:premierePlace>  ?b
0.08,?a  <dbo:author>  ?b   => ?a  <dbo:coverArtist>  ?b
0.05,?a  <dbo:author>  ?f  ?f  <dbo:birthPlace>  ?b   => ?a  <dbo:premierePlace>  ?b
0.05,?a  <dbo:author>  ?f  ?f  <dbo:knownFor>  ?b   => ?a  <dbo:nonFictionSubject>  ?b
0.05,?a  <dbo:author>  ?b   => ?a  <dbo:creativeDirector>  ?b
0.04,?a  <dbo:author>  ?b   => ?a  <dbo:translator>  ?b
0.02,?b  <dbo:author>  ?f  ?a  <dbo:creator>  ?f   => ?a  <dbo:lastAppearance>  ?b
0.01,?a  <dbo:author>  ?b   => ?a  <dbo:basedOn>  ?b
0.00,?e  <dbo:author>  ?b  ?e  <dbo:nonFictionSubject>  ?a   => ?a  <dbo:crewMember>  ?b
