0.00070 ; negcapital(A ,B)  :-  country(A ,C)   ,  region(D ,C)   ,  birthPlace(D ,B).
0.00000 ; negcapital(A ,B)  :-  populationTotal(B ,C)   ,  populationDensity(A ,D)   ,  C>D.
0.00000 ; negcapital(A ,B)  :-  populationDensity(B ,C)   ,  areaLand(A ,D)   ,  C<D.
0.00560 ; negcapital(A ,B)  :-  headquarter(C ,B)   ,  location(C ,D)   ,  country(A ,D).
0.00420 ; negcapital(A ,B)  :-  hometown(C ,B)   ,  nationality(C ,D)   ,  country(A ,D).
0.00350 ; negcapital(A ,B)  :-  country(A ,C)   ,  locationCity(D ,C)   ,  locationCity(D ,B).
0.00000 ; negcapital(A ,B)  :-  areaTotal(B ,C)   ,  areaWater(A ,D)   ,  C>D.
0.00350 ; negcapital(A ,B)  :-  country(A ,C)   ,  regionServed(D ,C)   ,  foundationPlace(D ,B).
0.02590 ; negcapital(A ,B)  :-  country(A ,C)   ,  deathPlace(D ,C)   ,  birthPlace(D ,B).
0.01623 ; negcapital(A ,B)  :-  country(A ,C)   ,  deathPlace(D ,C)   ,  hometown(D ,B).
0.00000 ; negcapital(A ,B)  :-  routeEnd(C ,B)   ,  county(C ,D)   ,  country(A ,D).
0.00350 ; negcapital(A ,B)  :-  country(A ,C)   ,  country(D ,C)   ,  locationCity(D ,B).
0.04340 ; negcapital(A ,B)  :-  populationDensity(A ,C)   ,  areaTotal(B ,D)   ,  C<D.
2.51880 ; negcapital(A ,B)  :-  deathPlace(C ,A)   ,  agency(D ,B)   ,  C=D.
1.05000 ; negcapital(A ,B)  :-  capital(C ,B)   ,  country(A ,C).
0.00000 ; negcapital(A ,B)  :-  populationTotal(B ,C)   ,  areaWater(A ,D)   ,  C>D.
0.02170 ; negcapital(A ,B)  :-  populationDensity(B ,C)   ,  populationDensity(A ,D)   ,  C>D.
0.00000 ; negcapital(A ,B)  :-  residence(C ,B)   ,  hometown(C ,D)   ,  country(A ,D).
0.00060 ; negcapital(A ,B)  :-  leaderTitle(A ,C)   ,  leaderTitle(D ,C)   ,  isPartOf(D ,B).
0.00000 ; negcapital(A ,B)  :-  populationTotal(A ,C)   ,  populationTotal(D ,C)   ,  country(D ,B).
0.00000 ; negcapital(A ,B)  :-  areaLand(A ,C)   ,  populationTotal(B ,D)   ,  C<D.
